#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
17,hundeauslaufgebiet,de,1,200,0.45,0.42,hundeauslaufgebiet berlin,2025-03-21 12:40:53,"Thumbnail,Sitelinks,People also ask",250,400,400,2015-09-26,"Informational,Non-branded,Non-local"
18,hundewiesen in der nähe,de,1,200,0.90,,eingezäunte hundewiese in der nähe,2025-04-05 16:20:12,"People also ask,Sitelinks",200,1500,1600,2018-02-21,"Informational,Non-branded,Local"
19,hunde indoor spielplatz,de,0,150,,0.61,indoor hundespielplatz,2025-03-26 15:33:28,,200,150,150,2015-12-30,"Informational,Commercial,Non-branded,Non-local"
20,hundeauslaufgebiet in der nähe,de,3,150,,,eingezäunte hundewiese in der nähe,2025-03-28 00:00:57,"Thumbnail,People also ask",150,2800,2900,2019-08-10,"Informational,Non-branded,Local"
21,hundefreilauffläche in der nähe,de,5,150,,,eingezäunte hundewiese in der nähe,2025-03-22 22:33:18,"Sitelinks,Thumbnail",150,2500,2600,2018-02-25,"Informational,Non-branded,Local"
22,hundeauslauf berlin,de,2,150,0.15,0.77,hundeauslaufgebiet berlin,2025-03-24 04:38:58,"Thumbnail,People also ask",150,350,350,2015-09-15,"Informational,Non-branded,Local"
23,hundewiese in meiner nähe,de,2,150,0.30,,eingezäunte hundewiese in der nähe,2025-04-03 02:07:30,"Thumbnail,People also ask",200,2500,2600,2017-03-10,"Non-branded,Local"
24,hunde park,de,17,150,,,hundepark in der nähe,2025-03-28 03:55:20,"Thumbnail,Sitelinks",250,300,300,2015-11-13,"Informational,Non-branded,Non-local"
25,freilauffläche für hunde,de,1,150,0.50,,eingezäunte hundewiese in der nähe,2025-04-01 12:29:50,"Thumbnail,People also ask,Videos,Sitelinks",150,2500,2600,2015-09-19,"Informational,Non-branded,Non-local"
26,hundepark berlin,de,1,100,,0.9,hundepark in der nähe,2025-03-29 00:29:17,"Thumbnail,People also ask",100,200,200,2015-10-03,"Informational,Non-branded,Local"
27,hundeauslaufzone,de,1,100,,,hundeauslaufzone,2025-03-22 10:16:50,"Thumbnail,People also ask,Sitelinks,Knowledge panel",150,20,40,2016-09-25,"Informational,Non-branded,Non-local"
28,hunde auslauf,de,0,100,0.10,,hundeauslauf,2025-03-25 14:55:58,"People also ask,Thumbnail,Shopping,Videos,Sitelinks",150,80,80,2015-11-05,"Informational,Commercial,Transactional,Non-branded,Non-local"
29,indoor hundespielplatz,de,2,100,,0.95,indoor hundespielplatz,2025-04-08 14:56:32,"Thumbnail,Sitelinks",150,30,30,2015-10-19,"Informational,Commercial,Non-branded,Non-local"
30,hundeauslauf eingezäunt in der nähe,de,2,100,,,eingezäunte hundewiese in der nähe,2025-03-25 14:20:19,"Sitelinks,Thumbnail",100,2300,2400,2021-11-14,"Non-branded,Local"
31,hundewiesen,de,2,100,0.25,0.53,eingezäunte hundewiese in der nähe,2025-04-03 00:56:30,"Thumbnail,Sitelinks",150,2500,2600,2015-09-14,"Informational,Non-branded,Local"
32,hundewiese köln,de,0,100,,1.09,hundewiese köln,2025-04-09 04:34:22,"Thumbnail,Sitelinks,People also ask",100,100,100,2015-10-11,"Informational,Non-branded,Local"
33,hundefreilauf eingezäunt in der nähe,de,0,100,,,eingezäunte hundewiese in der nähe,2025-03-24 12:13:46,"Sitelinks,Thumbnail",100,2500,2600,2023-10-19,"Informational,Non-branded,Local"
34,hundeauslauf hamburg,de,0,90,,1.07,hundewiese in der nähe,2025-04-10 05:18:08,"Local teaser pack,People also ask",90,150,150,2015-09-11,"Informational,Non-branded,Local"
35,hundefreilauf eingezäunt,de,0,90,,,hundeauslauf in der nähe,2025-03-30 04:53:06,"Thumbnail,Knowledge panel,Sitelinks",90,100,100,2017-02-10,"Informational,Non-branded,Non-local"
36,hundefreilaufflächen köln,de,0,80,,,hundewiese köln,2025-04-06 11:05:03,Thumbnail,80,150,150,2015-12-15,"Informational,Non-branded,Local"
37,hundespielplatz indoor,de,0,70,,,indoor hundespielplatz,2025-03-28 11:01:19,"Thumbnail,Sitelinks",80,150,150,2016-05-14,"Informational,Non-branded,Non-local"
38,hundewiese köln eingezäunt,de,0,70,,,hundespielplatz köln,2025-04-02 16:32:54,"Sitelinks,People also ask,Thumbnail",70,1000,1000,2015-11-22,"Informational,Non-branded,Local"
39,eingezäunter hundeplatz in der nähe,de,2,70,,,eingezäunte hundewiese in der nähe,2025-03-27 15:06:58,"Sitelinks,Thumbnail,People also ask,Knowledge panel",80,2800,2900,2021-10-29,"Informational,Non-branded,Local"
40,hundestrand köln,de,0,70,1.60,,schöne orte mit hund in der nähe,2025-03-24 03:57:27,"People also ask,Thumbnail,Sitelinks",70,150,150,2016-03-18,"Informational,Non-branded,Local"
41,öffentliche agility plätze,de,0,70,,,agility köln,2025-03-29 15:36:29,"Local pack,Sitelinks",70,60,60,2020-11-04,"Informational,Non-branded,Local"
42,hundespielplatz in meiner nähe,de,0,70,,,eingezäunte hundewiese in der nähe,2025-04-01 05:12:10,"Sitelinks,Thumbnail",80,2500,2600,2017-03-19,"Informational,Non-branded,Local"
43,northen,de,0,70,0.35,0.4,northen,2025-03-25 20:34:34,"Thumbnail,Sitelinks,Knowledge panel",1900,0,0,2015-09-04,"Informational,Navigational,Non-branded,Local"
44,hundeauslaufzonen hamburg,de,0,70,,,hundeauslaufzonen hamburg,2025-04-02 00:04:55,"Thumbnail,People also ask",70,100,100,2016-05-16,"Informational,Non-branded,Local"
45,hundespielplatz berlin,de,0,60,0.30,0.97,hundeplatz berlin,2025-04-05 14:37:02,"Thumbnail,People also ask",60,80,80,2015-09-02,"Informational,Non-branded,Local"
46,eingezäunte hundewiese in der nähe mieten,de,0,60,,,eingezäunte hundewiese in der nähe mieten,2025-03-27 07:29:00,"Thumbnail,Sitelinks,People also ask",60,60,60,2022-01-08,"Commercial,Transactional,Non-branded,Local"
47,freizeitpark hunsrück,de,1,60,0.15,1.19,hunsrück freizeitpark,2025-04-10 08:51:48,"Thumbnail,Sitelinks,People also ask,Knowledge panel",60,10,10,2016-03-04,"Informational,Non-branded,Local"
48,hunde auf spielplatz,de,0,60,0.15,,hunde spielplatz,2025-04-05 15:07:49,"People also ask,Sitelinks",60,100,100,2015-10-15,"Informational,Non-branded,Non-local"
49,hundefreilaufwiese,de,0,60,,,eingezäunte hundewiese in der nähe,2025-03-28 23:24:54,"Sitelinks,Thumbnail,People also ask",60,2800,2900,2016-02-03,"Informational,Non-branded,Local"
50,hundepark hamburg,de,0,60,,0.8,hundeauslaufzonen hamburg,2025-04-06 23:44:18,"Thumbnail,Sitelinks,People also ask",60,150,150,2015-09-27,"Informational,Non-branded,Local"
51,hundepark münchen,de,0,60,,,hundepark münchen,2025-04-05 06:17:03,"Thumbnail,People also ask",60,30,30,2015-10-20,"Informational,Non-branded,Local"
52,hundespielwiese in der nähe,de,0,50,,,eingezäunte hundewiese in der nähe,2025-03-28 19:32:22,"Sitelinks,Thumbnail",60,2800,2900,2019-12-29,"Informational,Non-branded,Local"
53,hunde wiese,de,0,50,,,hundewiese,2025-04-10 05:02:10,"Thumbnail,Sitelinks",60,1000,1100,2015-09-29,"Informational,Non-branded,Non-local"
54,hundeauslauf berlin eingezäunt,de,1,50,,,hundeauslauf berlin eingezäunt,2025-03-30 10:45:30,"Thumbnail,Sitelinks",50,70,70,2015-09-15,"Informational,Non-branded,Local"
55,hundeübungsplatz in der nähe,de,7,50,0.30,,hundeschule in der nähe,2025-04-01 19:22:24,"Local teaser pack,People also ask,Thumbnail",60,1900,2200,2022-06-17,"Commercial,Non-branded,Local"
56,hundepark köln,de,0,50,,,hundespielplatz köln,2025-04-04 15:42:55,People also ask,50,900,1000,2015-11-06,"Navigational,Non-branded,Local"
57,hundeparcour in der nähe,de,1,50,0.40,,hundeparcour in der nähe,2025-04-09 07:12:06,"Thumbnail,Sitelinks",60,10,10,2020-03-03,"Non-branded,Local"
58,hundeplatz berlin,de,2,50,,0.86,hundeplatz berlin,2025-03-31 21:17:03,"Thumbnail,People also ask",60,80,80,2015-09-17,"Informational,Non-branded,Local"
59,hundewiese berlin,de,2,50,,,hundeauslauf berlin eingezäunt,2025-04-07 08:05:54,"Thumbnail,People also ask",50,70,70,2015-09-02,"Informational,Non-branded,Local"
60,eingezäunte freilaufflächen für hunde,de,0,50,,0.79,eingezäunte hundewiese in der nähe,2025-03-28 12:24:31,Sitelinks,50,2800,2900,2016-07-08,"Informational,Non-branded,Non-local"
61,indoorspielplatz für hunde,de,0,40,,,hundespielplatz,2025-04-05 20:30:29,"People also ask,Local pack,Sitelinks",40,200,200,2016-03-25,"Informational,Non-branded,Non-local"
62,spielplatz für hunde,de,0,40,,,hunde spielplatz,2025-03-26 18:41:32,Sitelinks,60,90,90,2016-02-17,"Informational,Commercial,Non-branded,Non-local"
63,hund spielplatz,de,0,40,,,hunde spielplatz,2025-04-03 13:04:29,"Featured snippet,People also ask,Sitelinks",50,100,100,2016-03-13,"Informational,Non-branded,Non-local"
64,freilauffläche für hunde in der nähe,de,11,40,,,eingezäunte hundewiese in der nähe,2025-04-08 22:52:16,People also ask,40,1800,1800,2021-05-13,"Informational,Non-branded,Local"
65,eingezäunte hundewiese köln,de,0,40,,1.17,hundespielplatz köln,2025-04-03 14:57:28,"Thumbnail,Sitelinks",50,1000,1000,2015-09-06,"Informational,Non-branded,Local"
66,eingezäunte hundewiese hamburg,de,0,40,,,hundefreilauf in der nähe,2025-03-31 05:22:17,"Thumbnail,Sitelinks",40,300,300,2015-12-12,"Informational,Non-branded,Local"
67,hundespielplatz münchen,de,0,40,,,hundewiese münchen,2025-04-03 09:23:30,"Thumbnail,People also ask,Sitelinks",40,90,90,2015-10-13,"Informational,Non-branded,Local"
68,abenteuerspielplatz für hunde,de,8,40,,,hundespielplatz,2025-04-07 02:42:52,"Sitelinks,People also ask,Thumbnail",40,200,200,2016-07-20,"Informational,Non-branded,Non-local"
69,hundeparks in der nähe,de,5,40,1.20,,eingezäunte hundewiese in der nähe,2025-03-31 04:18:30,"Sitelinks,Thumbnail,People also ask",50,2800,2900,2020-02-28,"Informational,Non-branded,Local"
70,freizeitpark für hunde,de,0,30,0.30,,hundepark in der nähe,2025-04-03 06:18:52,"Videos,People also ask",30,350,350,2016-04-04,"Informational,Non-branded,Non-local"
71,hundepark dresden,de,0,30,,,hundewiese dresden,2025-04-03 00:43:49,"Thumbnail,Sitelinks,Knowledge panel",30,30,30,2015-09-01,"Informational,Non-branded,Local"
72,hundewiese hamburg,de,0,30,,0.95,hundeauslauf hamburg,2025-04-08 23:19:56,People also ask,30,100,100,2015-09-15,"Informational,Non-branded,Local"
73,hundewiese hannover,de,0,30,,0.8,hundewiese in der nähe,2025-04-09 15:59:17,Thumbnail,30,200,200,2016-09-27,"Informational,Non-branded,Local"
74,hundeplatz eingezäunt,de,0,30,,,eingezäunte hundewiese in der nähe,2025-03-27 18:28:16,"Thumbnail,People also ask",30,2800,2900,2016-12-17,"Informational,Non-branded,Non-local"
75,freilaufgelände für hunde,de,0,30,,,eingezäunte hundewiese in der nähe,2025-04-02 08:19:59,People also ask,30,2500,2600,2018-07-12,"Informational,Non-branded,Non-local"
76,agility platz,de,0,30,,,öffentliche agility plätze,2025-04-10 08:21:05,"Thumbnail,People also ask,Sitelinks,Knowledge panel",40,80,80,2016-02-08,"Informational,Non-branded,Non-local"
77,hundewiese unterföhring,de,0,30,,,hundewiese unterföhring,2025-03-30 14:38:53,"Thumbnail,Knowledge panel",30,10,10,2015-09-05,"Informational,Non-branded,Local"
78,hundefreilauf berlin,de,1,30,,,hundeauslaufgebiet berlin,2025-03-29 22:43:45,Thumbnail,30,400,400,2015-09-05,"Informational,Non-branded,Local"
79,eingezäunte hundefreilauffläche,de,1,30,,,eingezäunte hundewiese in der nähe,2025-03-27 17:30:26,"Sitelinks,Thumbnail",30,2800,2900,2022-01-05,"Informational,Non-branded,Non-local"
80,freilaufwiese für hunde,de,0,30,,,eingezäunte hundewiese in der nähe,2025-04-09 06:20:10,"People also ask,Sitelinks",40,1800,1800,2016-08-27,"Informational,Non-branded,Non-local"
81,hundeauslaufplatz in der nähe,de,0,30,,,eingezäunte hundewiese in der nähe,2025-03-29 11:18:46,Thumbnail,30,2800,2900,2020-02-17,"Non-branded,Local"
82,eingezäunte hundewiese dresden,de,0,30,,,eingezäunte hundewiese dresden,2025-03-29 09:43:38,"Featured snippet,People also ask,Thumbnail,Sitelinks",30,10,10,2015-12-27,"Informational,Non-branded,Local"
83,hundewiese dresden,de,0,30,,,hundewiese dresden,2025-03-24 21:36:12,"Thumbnail,People also ask,Knowledge panel,Sitelinks",30,30,30,2015-12-07,"Informational,Non-branded,Local"
84,hunde freizeitpark,de,0,20,,,eingezäunte hundewiese in der nähe,2025-04-09 13:03:17,,20,400,400,2015-09-23,"Informational,Commercial,Non-branded,Non-local"
85,agility köln,de,4,20,0.25,1.64,öffentliche agility plätze,2025-04-01 17:19:29,"Local pack,Thumbnail,Sitelinks",20,80,80,2015-09-30,"Informational,Non-branded,Local"
86,hund park,de,0,20,,,eingezäunte hundewiese in der nähe,2025-04-05 08:50:30,"Videos,Thumbnail,People also ask",80,450,450,2015-11-22,"Informational,Non-branded,Non-local"
87,hundepark in meiner nähe,de,1,20,,,eingezäunte hundewiese in der nähe,2025-04-07 07:16:13,Thumbnail,20,1800,1800,2018-04-07,"Non-branded,Local"
88,hundeparcour nrw,de,1,20,,,agility köln,2025-03-28 15:39:05,Sitelinks,20,60,60,2020-09-09,"Informational,Non-branded,Local"
89,hundefreilauf hamburg,de,0,20,,1.04,hundeauslauf hamburg,2025-04-07 02:11:16,People also ask,20,100,100,2015-10-03,"Informational,Non-branded,Local"
90,hundewiesen eingezäunt,de,0,20,1.10,,eingezäunte hundewiese in der nähe,2025-04-06 07:03:14,"Thumbnail,People also ask",20,1500,1600,2018-05-13,"Informational,Non-branded,Local"
91,hundepark hannover,de,0,20,,,hundewiese in der nähe,2025-04-04 15:22:31,"Sitelinks,People also ask,Thumbnail",20,200,200,2016-01-08,"Navigational,Non-branded,Local"
92,park mit hund,de,0,20,0.30,,freizeitpark mit hund,2025-03-30 08:12:16,"Thumbnail,People also ask,Sitelinks",30,70,70,2015-10-22,"Informational,Non-branded,Non-local"
93,hunsrück freizeitpark,de,12,20,0.15,,hunsrück freizeitpark,2025-03-26 05:50:45,"Thumbnail,People also ask,Knowledge panel,Sitelinks",20,10,10,2016-03-21,"Informational,Non-branded,Local"
94,umzäunte hundewiese,de,0,20,,,hundewiese münchen,2025-04-08 04:29:18,"Thumbnail,People also ask",20,30,30,2016-08-28,"Informational,Non-branded,Non-local"
95,hundefreilauf köln,de,0,20,,1.1,hundewiese köln,2025-03-28 16:03:50,"Thumbnail,Sitelinks,People also ask",20,150,150,2015-10-03,"Informational,Non-branded,Local"
96,eingezäunter hundeauslauf berlin,de,1,20,,,hundeauslauf berlin eingezäunt,2025-03-24 16:11:30,"Thumbnail,Sitelinks",20,70,70,2016-06-01,"Informational,Non-branded,Local"
97,hundefreilauffläche eingezäunt,de,0,20,,,eingezäunte hundewiese in der nähe,2025-04-03 07:41:17,"People also ask,Thumbnail",20,2500,2600,2018-11-18,"Informational,Non-branded,Non-local"
98,hunde wasserpark,de,0,10,,,hunde wasserpark,2025-03-24 09:26:22,"People also ask,Sitelinks",20,0,0,2016-05-29,"Informational,Non-branded,Non-local"
99,hundeplätze berlin,de,1,10,,,hundeplatz berlin,2025-04-02 20:45:07,"Thumbnail,People also ask",10,20,20,2016-08-21,"Informational,Non-branded,Local"
100,eingezäunter hundeauslauf in der nähe,de,9,10,,,eingezäunte hundewiese in der nähe,2025-03-24 21:36:41,"Sitelinks,Thumbnail",10,2300,2400,2021-07-25,"Informational,Non-branded,Local"
101,eingezäunter freilauf für hunde,de,7,10,,,eingezäunte hundewiese in der nähe,2025-03-22 17:53:32,"Sitelinks,People also ask",10,2500,2600,2015-11-15,"Informational,Non-branded,Non-local"
102,hundetagesstätte hannover,de,4,10,0.30,1.97,hunde kita,2025-03-30 23:23:16,"Local pack,Sitelinks,Thumbnail",10,60,60,2015-10-21,"Navigational,Commercial,Non-branded,Local"
103,eingezäunte hundeauslaufflächen,de,0,10,,,eingezäunte hundewiese in der nähe,2025-03-30 06:09:55,"Sitelinks,Thumbnail",10,2800,2900,2021-04-03,"Informational,Non-branded,Non-local"
104,eingezäunter hundeauslauf,de,9,10,,,eingezäunte hundewiese in der nähe,2025-03-30 21:00:24,Thumbnail,30,2800,2900,2016-03-13,"Informational,Non-branded,Local"
105,hunde freilaufgehege in der nähe,de,5,10,,,eingezäunte hundewiese in der nähe,2025-04-08 10:51:26,Sitelinks,20,1800,1800,2021-04-17,"Informational,Non-branded,Local"
106,hundeauslauf eingezäunt,de,0,10,,,eingezäunte hundewiese in der nähe,2025-04-01 21:04:03,"Sitelinks,Thumbnail",10,2500,2600,2016-02-23,"Informational,Non-branded,Non-local"
107,hundefreilaufgebiet,de,2,10,,,eingezäunte hundewiese in der nähe,2025-03-30 05:21:08,"People also ask,Thumbnail,Knowledge panel",10,2800,2900,2018-05-19,"Informational,Non-branded,Non-local"
108,caniplace thalfang,de,0,10,,,eingezäunte hundewiese in der nähe,2025-04-04 09:48:41,,10,450,450,2019-01-11,"Informational,Navigational,Non-branded,Local"
109,hundewiesen hamburg,de,0,10,,,hundeauslauf hamburg,2025-03-24 21:20:14,"People also ask,Knowledge panel",10,80,80,2015-09-12,"Informational,Non-branded,Local"
110,hundespielplatz nrw,de,2,10,,1.39,hundespielplatz köln,2025-03-28 05:15:25,"Sitelinks,Knowledge panel",10,700,700,2015-09-12,"Informational,Non-branded,Local"
111,parks mit hund,de,0,10,0.25,,freizeitpark mit hund,2025-04-02 17:24:29,"Thumbnail,People also ask",10,70,70,2015-10-27,"Informational,Non-branded,Non-local"
112,eingezäuntes gelände für hunde,de,0,10,,,eingezäunte hundewiese in der nähe,2025-04-03 04:36:26,"Sitelinks,People also ask",10,2500,2600,2015-10-15,"Informational,Non-branded,Non-local"
113,öffentlicher hundeplatz,de,0,10,,0.62,eingezäunte hundewiese in der nähe,2025-04-01 19:54:04,"People also ask,Sitelinks",10,2500,2600,2015-12-16,"Informational,Non-branded,Non-local"
114,hundeparks berlin,de,1,10,,,hundepark in der nähe,2025-04-05 10:35:19,"Thumbnail,People also ask,Sitelinks",10,150,150,2015-10-15,"Informational,Non-branded,Local"
115,hundefreilauf hannover,de,0,10,,,hundefreilauf in der nähe,2025-03-31 13:50:22,"Thumbnail,People also ask",10,150,150,2015-12-12,"Informational,Non-branded,Local"
116,eingezäunter hundeplatz,de,0,,,,eingezäunte hundewiese in der nähe,2025-03-30 15:12:24,"Sitelinks,Knowledge panel,Thumbnail",10,2800,2900,2016-03-03,"Informational,Non-branded,Non-local"
